Sample;Dataset;Known IDH status;Predicted IDH status
aml_ohsu_2022_2000_BA2123;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2003_BA2499;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2004_BA2846;AML-OHSU-2022;IDH-MUT;
aml_ohsu_2022_2009_BA3322;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2010_BA2304;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2013_BA2195;AML-OHSU-2022;IDH-MUT;
aml_ohsu_2022_2014_BA2226;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2015_BA2861;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2016_BA2816;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2017_BA2156;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2018_BA2950;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2019_BA2905;AML-OHSU-2022;IDH-MUT;
aml_ohsu_2022_2022_BA2032;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2023_BA2505;AML-OHSU-2022;;pIDH-WT
aml_ohsu_2022_2025_BA2461;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2026_BA2122;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2029_BA2065;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2029_BA2474;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2031_BA2501;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2032_BA2348;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2033_BA2269;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2034_BA2712;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2035_BA2212;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2036_BA2731;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2037_BA2300;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2038_BA2887;AML-OHSU-2022;;pIDH-WT
aml_ohsu_2022_2039_BA2955;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2041_BA2724;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2043_BA2575;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2044_BA2277;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2044_BA2280;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2047_BA2634;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2049_BA2623;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2050_BA2354;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2052_BA2272;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2054_BA2095;AML-OHSU-2022;;pIDH-WT
aml_ohsu_2022_2055_BA2106;AML-OHSU-2022;IDH-MUT;
aml_ohsu_2022_2055_BA2939;AML-OHSU-2022;;pIDH-MUT
aml_ohsu_2022_2056_BA2292;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2057_BA2659;AML-OHSU-2022;IDH-MUT;
aml_ohsu_2022_2058_BA2054;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2060_BA2322;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2061_BA2762;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2064_BA2589;AML-OHSU-2022;IDH-MUT;
aml_ohsu_2022_2065_BA2020;AML-OHSU-2022;IDH-MUT;
aml_ohsu_2022_2066_BA2066;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2067_BA2482;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2069_BA2932;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2070_BA2592;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2072_BA2355;AML-OHSU-2022;;pIDH-MUT
aml_ohsu_2022_2073_BA2510;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2074_BA2256;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2075_BA2023;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2077_BA2344;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2077_BA2534;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2079_BA2735;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2079_BA3029;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2080_BA2034;AML-OHSU-2022;IDH-MUT;
aml_ohsu_2022_2080_BA2089;AML-OHSU-2022;IDH-MUT;
aml_ohsu_2022_2081_BA2449;AML-OHSU-2022;;pIDH-WT
aml_ohsu_2022_2083_BA2778;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2085_BA2040;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2085_BA2306;AML-OHSU-2022;;pIDH-WT
aml_ohsu_2022_2085_BA2842;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2085_BA2855;AML-OHSU-2022;IDH-WT;
